category,search_term,title,identifier,url,mediatype,confidence_score,creator,publisher,page_count
visual_art_and_artists,Malevich,Kazimir Malevich : suprematism,kazimir00male,https://archive.org/details/kazimir00male,texts,100,"Malevich, Kazimir Severinovich, 1878-1935, Drutt, Matthew, Deutsche Guggenheim Berlin, Solomon R. Guggenheim Museum, Menil Collection (Houston, Tex.)","New York, N.Y. : Guggenheim Museum ; Distributed by Harry N. Abrams",282
visual_art_and_artists,Alberto Giacometti,"Alberto Giacometti : myth, magic, and the man",albertogiacomett0000wils,https://archive.org/details/albertogiacomett0000wils,texts,95,"Wilson, Laurie",New Haven : Yale University Press,394
visual_art_and_artists,Diego Giacometti,Diego Giacometti,diegogiacometti0000marc,https://archive.org/details/diegogiacometti0000marc,texts,95,"Marchesseau, Daniel",New York : H.N. Abrams ; Paris : Hermann,230
visual_art_and_artists,Joseph Beuys,Joseph Beuys : the reader,josephbeuysreade0000unse,https://archive.org/details/josephbeuysreade0000unse,texts,95,,"Cambridge, MA : MIT Press",358
visual_art_and_artists,Marcel Duchamp,The complete works of Marcel Duchamp,completeworksofm0000schw,https://archive.org/details/completeworksofm0000schw,texts,95,"Schwarz, Arturo, 1924-","New York, H. N. Abrams",680
visual_art_and_artists,Mike Kelley,Mike Kelley : catholic tastes,mikekelleycathol0000suss,https://archive.org/details/mikekelleycathol0000suss,texts,95,"Sussman, Elisabeth, 1939-",New York : Whitney Museum of American Art : Distributed by H.N. Abrams,262
visual_art_and_artists,Tapies,TAPIES,isbn_0847802582,https://archive.org/details/isbn_0847802582,texts,95,Roland Penrose,"Rizzoli International Publications, Inc.",286
film_and_cinema,Dennis Hopper,The New York genealogical and biographical record,newyorkgenealogi1898gree,https://archive.org/details/newyorkgenealogi1898gree,texts,95,"Greene, Richard Henry, 1839-1926, Stiles, Henry Reed, 1832-1909, Dwight, Melatiah Everett, Morrison, George Austin, 1864-1916, Mott, Hopper Striker, 1854-1924, Totten, John Reynolds, 1856-1936, Pitman, H. Minot (Harold Minot), 1888-, Ditmas, Charles Andrew, 1887-1938, De Forest, Louis Effingham, 1891-, Mann, Conklin, Maynard, Arthur S, New York Genealogical and Biographical Society","New York, New York Genealogical and Biographical Society",618
visual_art_and_artists,John Heartfield,John Heartfield,johnheartfield0000hear,https://archive.org/details/johnheartfield0000hear,texts,95,"Heartfield, John, 1891-1968",New York : H.N. Abrams,350
visual_art_and_artists,Malevich,"Paths to the absolute : Mondrian, Malevich, Kandinsky, Pollock, Newman, Rothko, and Still",isbn_9780691048963,https://archive.org/details/isbn_9780691048963,texts,95,"Golding, John","Princeton, NJ : Princeton University Press",250
